Code,Description
1.11,"Growing of cereals (except rice), leguminous crops and oil seeds"
1.12,Growing of rice
1.13,"Growing of vegetables and melons, roots and tubers"
1.14,Growing of sugar cane
1.15,Growing of tobacco
1.16,Growing of fibre crops
1.19,Growing of other non-perennial crops
1.21,Growing of grapes
1.22,Growing of tropical and subtropical fruits
1.23,Growing of citrus fruits
1.24,Growing of pome fruits and stone fruits
1.25,Growing of other tree and bush fruits and nuts
1.26,Growing of oleaginous fruits
1.27,Growing of beverage crops
1.28,"Growing of spices, aromatic, drug and pharmaceutical crops"
1.29,Growing of other perennial crops
1.3,Plant propagation
1.41,Raising of dairy cattle
1.42,Raising of other cattle and buffaloes
1.43,Raising of horses and other equines
1.44,Raising of camels and camelids
1.45,Raising of sheep and goats
1.46,Raising of swine/pigs
1.47,Raising of poultry
1.49,Raising of other animals
1.5,Mixed farming
1.61,Support activities for crop production
1.62,Support activities for animal production
1.63,Post-harvest crop activities
1.64,Seed processing for propagation
1.7,"Hunting, trapping and related service activities"
2.1,Silviculture and other forestry activities
2.2,Logging
2.3,Gathering of wild growing non-wood products
2.4,Support services to forestry
3.11,Marine fishing
3.12,Freshwater fishing
3.21,Marine aquaculture
3.22,Freshwater aquaculture
5.1,Mining of hard coal
5.2,Mining of lignite
6.1,Extraction of crude petroleum
6.2,Extraction of natural gas
7.1,Mining of iron ores
7.21,Mining of uranium and thorium ores
7.29,Mining of other non-ferrous metal ores
8.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
8.12,Operation of gravel and sand pits; mining of clays and kaolin
8.91,Mining of chemical and fertiliser minerals
8.92,Extraction of peat
8.93,Extraction of salt
8.99,Other mining and quarrying n.e.c.
9.1,Support activities for petroleum and natural gas extraction
9.9,Support activities for other mining and quarrying
10.11,Processing and preserving of meat
10.12,Processing and preserving of poultry meat
10.13,Production of meat and poultry meat products
10.2,"Processing and preserving of fish, crustaceans and molluscs"
10.31,Processing and preserving of potatoes
10.32,Manufacture of fruit and vegetable juice
10.39,Other processing and preserving of fruit and vegetables
10.41,Manufacture of oils and fats
10.42,Manufacture of margarine and similar edible fats
10.51,Operation of dairies and cheese making
10.52,Manufacture of ice cream
10.61,Manufacture of grain mill products
10.62,Manufacture of starches and starch products
10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes
10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes
